,word0,word1,word2,word3,word4,word5,original_tuple
0,"[('black', 0.8448529839515686)]",white,latino,male,predominantly,african_american,black dorchester
1,"[('dorchester', 0.8957999348640442)]",morrissey,neponset,taft,homestead,freeport,cape_verdean dorchester
2,"[('dorchester', 0.9170345664024353)]",morrissey,neponset,taft,homestead,freeport,haitian dorchester
3,"[('african_american', 0.7985457181930542)]",asian,black,descent,male,latino,african_american dorchester
4,"[('dorchester', 0.8474664688110352)]",morrissey,neponset,taft,homestead,freeport,caribbean dorchester
5,"[('dorchester', 0.9290052652359009)]",morrissey,neponset,taft,homestead,freeport,jamaican dorchester
6,"[('dorchester', 0.8518277406692505)]",morrissey,neponset,taft,homestead,freeport,dominican dorchester
7,"[('black', 0.8464081287384033)]",white,latino,male,predominantly,african_american,black roxbury
8,"[('roxbury', 0.9081642627716064)]",codman,edinboro,arose,melnea,mildred,cape_verdean roxbury
9,"[('roxbury', 0.9168034195899963)]",codman,edinboro,arose,melnea,mildred,haitian roxbury
10,"[('african_american', 0.8190773129463196)]",asian,black,descent,male,latino,african_american roxbury
11,"[('roxbury', 0.8476927876472473)]",codman,edinboro,arose,melnea,mildred,caribbean roxbury
12,"[('roxbury', 0.9212918281555176)]",codman,edinboro,arose,melnea,mildred,jamaican roxbury
13,"[('roxbury', 0.8547313809394836)]",codman,edinboro,arose,melnea,mildred,dominican roxbury
14,"[('black', 0.8157379031181335)]",white,latino,male,predominantly,african_american,black mattapan
15,"[('mattapan', 0.9088848233222961)]",edinboro,uphams,bowdoin,melnea,dorchester’s,cape_verdean mattapan
16,"[('mattapan', 0.9268189668655396)]",edinboro,uphams,bowdoin,melnea,dorchester’s,haitian mattapan
17,"[('african_american', 0.7849575281143188)]",asian,black,descent,male,latino,african_american mattapan
18,"[('mattapan', 0.8691413402557373)]",edinboro,uphams,bowdoin,melnea,dorchester’s,caribbean mattapan
19,"[('mattapan', 0.9348683953285217)]",edinboro,uphams,bowdoin,melnea,dorchester’s,jamaican mattapan
20,"[('mattapan', 0.863871693611145)]",edinboro,uphams,bowdoin,melnea,dorchester’s,dominican mattapan
21,"[('hyde_park', 0.7727959156036377)]",readville,codman,chesterfield,milton,baptized,black hyde_park
22,"[('hyde_park', 0.8999390006065369)]",readville,codman,chesterfield,milton,baptized,cape_verdean hyde_park
23,"[('hyde_park', 0.9026959538459778)]",readville,codman,chesterfield,milton,baptized,haitian hyde_park
24,"[('hyde_park', 0.7623623609542847)]",readville,codman,chesterfield,milton,baptized,african_american hyde_park
25,"[('hyde_park', 0.8595974445343018)]",readville,codman,chesterfield,milton,baptized,caribbean hyde_park
26,"[('hyde_park', 0.9377543926239014)]",readville,codman,chesterfield,milton,baptized,jamaican hyde_park
27,"[('hyde_park', 0.8723638653755188)]",readville,codman,chesterfield,milton,baptized,dominican hyde_park
