,word0,word1,word2,word3,word4,word5
0,dorchester,hyde_park,roxbury,armory,linden,charlestown
1,roxbury,dorchester,dudley,mattapan,annunciation,south_boston
2,mattapan,“three,bcs,roslindale,jamaica_plain,roxbury
3,hyde_park,dorchester,greenwood,astoria,fairview,gallivan
4,fenway,park,shelled,“kind,abcd,dreams”
5,beacon_hill,profligate,vestige,recycling,back_bay,logically
6,downtown,crossing,unloved,surveying,back_bay,kenmore
7,south_boston,dorchester,uphams,charlestown,roxbury,savin
8,east_boston,bcs,jamaica_plain,mattapan,densely,medford
9,back_bay,kenmore,chinatown,workday,freeport,dockside
10,jamaica_plain,mattapan,eire,hyde_park,dorchester,bcs
11,south_end,uphams,north_end,eire,kenmore,roxbury
12,charlestown,dorchester,almont,south_boston,brighton,kenmore
13,brighton,allston,kenmore,iacono,almont,atherton
14,allston,brighton,kenmore,atherton,656,linden
15,west_end,clarendon,laundromat,mortuary,freeport,kenmore
16,roslindale,astoria,benzy,hyde_park,bcs,mattapan
17,north_end,kenmore,tenement,uphams,terrace,eire
18,mission_hill,kenmore,councillor,hurley,almont,rectory
19,harbor_islands,karin,huts,rowes,tpresented,289
20,longwood_medical_area,freeport,kenmore,pasteur,cradle,hodgepodge
21,freeport,kenmore,“methadone,zoned,rezone,mile”
22,kenmore,freeport,almont,iacono,triangle,scollay
23,pasteur,cradle,longwood_medical_area,intellect,botolph,masqueraders
24,cradle,pasteur,intellect,resounds,longwood_medical_area,thessaloniki
25,hodgepodge,hemmed,vicente’s,junkyards,laundries,cropping
