,0
dorchester,"[('dorchester', 0.9067648649215698)]"
roxbury,"[('roxbury', 0.909052848815918)]"
mattapan,"[('mattapan', 0.9135618805885315)]"
hyde_park,"[('hyde_park', 0.9063087105751038)]"
fenway,"[('fenway', 0.9046290516853333)]"
beacon_hill,"[('beacon_hill', 0.8855968713760376)]"
downtown,"[('downtown', 0.8922688961029053)]"
south_boston,"[('south_boston', 0.9039096236228943)]"
east_boston,"[('east_boston', 0.8795430660247803)]"
back_bay,"[('attractions', 0.8872311115264893)]"
jamaica_plain,"[('jamaica_plain', 0.8989450335502625)]"
south_end,"[('unidad', 0.88050377368927)]"
charlestown,"[('charlestown', 0.8823889493942261)]"
brighton,"[('brighton', 0.8840674757957458)]"
allston,"[('allston', 0.8974833488464355)]"
west_end,"[('west_end', 0.919327974319458)]"
roslindale,"[('hyde_park', 0.9067419767379761)]"
north_end,"[('north_end', 0.8860493898391724)]"
mission_hill,"[('mission_hill', 0.885132372379303)]"
harbor_islands,"[('febrile', 0.8895637392997742)]"
longwood_medical_area,"[('longwood_medical_area', 0.9280799627304077)]"
